Path,SizeBytes,Type,Purpose,ProductionRisk,Reproducible,SYNTHETIC_SAFE_FOR_GIT,FinalClassification,Reason
05_QA/varexp_limited_pilot_rc1/malformed/ProjectRoot/USR/SSV Integrated Project/C1/Shared/C/varexp/BFU_varexp.csv,11781,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/malformed/ProjectRoot/USR/SSV Integrated Project/C1/Shared/ELEC/varexp/E02_varexp.csv,11775,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/malformed/ProjectRoot/USR/SSV Integrated Project/C1/Shared/varexp_main.csv,11726,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/PilotConfig_GlobalBoundary.psd1,1036,QA Script/Config,Reproducible QA configuration,TEST_RISK_PRESENT,YES,N/A,TRACK_IN_GIT,Boundary fixture configuration required for reproducible QA
05_QA/varexp_limited_pilot_rc1/positive/ProjectRoot/NO_ACCESS.dat,24,Negative-access Fixture,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/positive/ProjectRoot/NO_ACCESS.xlsx,25,Negative-access Fixture,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/positive/ProjectRoot/NO_ACCESS.xml,24,Negative-access Fixture,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/positive/ProjectRoot/UNAPPROVED_VAREXP.csv,29,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/positive/ProjectRoot/USR/SSV Integrated Project/C1/Shared/A/varexp/plc_m_varexp.csv,11828,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/positive/ProjectRoot/USR/SSV Integrated Project/C1/Shared/B/varexp/G03_varexp.csv,11775,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/positive/ProjectRoot/USR/SSV Integrated Project/C1/Shared/C/varexp/BFU_varexp.csv,11775,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/positive/ProjectRoot/USR/SSV Integrated Project/C1/Shared/ELEC/varexp/E02_varexp.csv,11775,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/positive/ProjectRoot/USR/SSV Integrated Project/C1/Shared/varexp_main.csv,11715,CSV Fixture/Result,Minimal reproducible synthetic QA fixture,LOW_SYNTHETIC_OR_GENERATED,YES,YES,TRACK_IN_GIT,Canonical synthetic Phase 4 boundary fixture
05_QA/varexp_limited_pilot_rc1/sensitive/ProjectRoot/NO_ACCESS.dat,24,Negative-access Fixture,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; runtime generation preferred
05_QA/varexp_limited_pilot_rc1/sensitive/ProjectRoot/NO_ACCESS.xlsx,25,Negative-access Fixture,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; runtime generation preferred
05_QA/varexp_limited_pilot_rc1/sensitive/ProjectRoot/NO_ACCESS.xml,24,Negative-access Fixture,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; runtime generation preferred
05_QA/varexp_limited_pilot_rc1/sensitive/ProjectRoot/UNAPPROVED_VAREXP.csv,29,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; runtime generation preferred
05_QA/varexp_limited_pilot_rc1/sensitive/ProjectRoot/USR/SSV Integrated Project/C1/Shared/A/varexp/plc_m_varexp.csv,11828,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; runtime generation preferred
05_QA/varexp_limited_pilot_rc1/sensitive/ProjectRoot/USR/SSV Integrated Project/C1/Shared/B/varexp/G03_varexp.csv,11775,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; runtime generation preferred
05_QA/varexp_limited_pilot_rc1/sensitive/ProjectRoot/USR/SSV Integrated Project/C1/Shared/C/varexp/BFU_varexp.csv,11775,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; runtime generation preferred
05_QA/varexp_limited_pilot_rc1/sensitive/ProjectRoot/USR/SSV Integrated Project/C1/Shared/ELEC/varexp/E02_varexp.csv,11775,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; runtime generation preferred
05_QA/varexp_limited_pilot_rc1/sensitive/ProjectRoot/USR/SSV Integrated Project/C1/Shared/varexp_main.csv,11736,CSV Fixture/Result,Generated/duplicated QA or release artifact,TEST_RISK_PRESENT,YES,NO,IGNORE_GENERATED,Synthetic sensitive sentinel scenario; runtime generation preferred
07_Release/PCVue_CSV_Header_Sample_Collector_1.0.0-rc5.zip,11178,Release/QA ZIP,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,N/A,IGNORE_GENERATED,Binary ZIP is reproducible and belongs in future private GitHub Release assets
07_Release/PCVue_VAREXP_Limited_Tag_Pilot_1.0.0-rc1.zip,8814,Release/QA ZIP,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,N/A,IGNORE_GENERATED,Binary ZIP is reproducible and belongs in future private GitHub Release assets
07_Release/PCVue_VAREXP_Minimal_Hierarchy_Pilot_1.0.0-rc1.zip,10094,Release/QA ZIP,Generated/duplicated QA or release artifact,LOW_SYNTHETIC_OR_GENERATED,YES,N/A,IGNORE_GENERATED,Binary ZIP is reproducible and belongs in future private GitHub Release assets
